"plate_x","plate_z","pitch_name","description","stand","release_speed","release_spin_rate"
-0.47,0.8,"Slider","ball","L",90.2,2690
-1.39,3.72,"4-Seam Fastball","ball","L",97.5,2490
-0.46,2.65,"4-Seam Fastball","hit_into_play","R",97.3,2492
0.26,1.93,"Slider","hit_into_play","L",89.2,2580
-1.4,1.76,"Slider","ball","L",90.4,2465
0.28,3.12,"4-Seam Fastball","foul","L",97.5,2433
0.82,2.08,"4-Seam Fastball","hit_into_play","R",97.2,2423
1.54,0.85,"Slider","ball","R",90.5,2669
-0.51,2.63,"4-Seam Fastball","foul_tip","R",96.4,2383
-0.08,2.06,"4-Seam Fastball","foul","R",96.9,2458
1.4,1.23,"Slider","ball","L",90.9,2549
-1.37,2.9,"4-Seam Fastball","ball","L",96.3,2345
-0.03,2.47,"Slider","foul","L",90.1,2583
-1.2,1.47,"Changeup","foul","L",90,1601
-1.21,3.04,"4-Seam Fastball","ball","L",96.4,2323
-0.69,3.16,"Knuckle Curve","called_strike","L",82.6,2558
0.31,0.05,"Slider","blocked_ball","L",88.5,2430
-0.47,2.74,"4-Seam Fastball","foul","L",95.7,2325
-1.69,3.28,"4-Seam Fastball","ball","L",94.8,2309
0.44,2.01,"4-Seam Fastball","foul","L",95.6,2397
-0.57,4.39,"4-Seam Fastball","ball","L",95.4,2357
-0.8,3.66,"Knuckle Curve","ball","L",80,2630
-0.2,3.39,"4-Seam Fastball","ball","L",94.8,2382
0.12,3.26,"4-Seam Fastball","foul","L",94.9,2360
-0.16,2.1,"4-Seam Fastball","hit_into_play","R",97,2299
-0.13,2.63,"Knuckle Curve","foul","R",82.3,2720
0.58,1.15,"Knuckle Curve","swinging_strike","R",83.6,2655
1.79,0.22,"Slider","ball","R",88.9,2431
0.44,1.9,"Cutter","foul","R",91.6,2490
0.18,2.07,"Knuckle Curve","foul","R",82.9,2740
-1.48,4.27,"4-Seam Fastball","ball","R",96.1,2305
0.69,2.07,"4-Seam Fastball","called_strike","R",96.5,2381
0.78,0.67,"Knuckle Curve","ball","R",83.2,2746
-0.74,2.56,"Knuckle Curve","called_strike","R",82,2807
-0.14,3.62,"Cutter","foul","R",90.8,2447
1.2,3.59,"4-Seam Fastball","ball","R",97.4,2226
0.57,1.05,"Cutter","foul","R",91.1,2383
0.05,2.86,"4-Seam Fastball","swinging_strike","R",96.3,2333
-1.03,4.06,"4-Seam Fastball","ball","R",95.7,2351
1.43,1.4,"Cutter","swinging_strike","L",92,2370
-1.28,1.67,"Changeup","ball","L",90.2,1449
-0.33,3.24,"4-Seam Fastball","foul","L",96.4,2410
-0.35,3.49,"Cutter","swinging_strike","L",91.7,2337
-0.62,4.45,"4-Seam Fastball","ball","L",96,2282
-0.02,0.6,"Changeup","ball","L",89.8,1744
-0.28,1.56,"4-Seam Fastball","called_strike","L",95.7,2363
-0.98,2.99,"Changeup","hit_into_play","R",88.9,1766
1.87,1.93,"Slider","ball","R",90.4,2431
