release_spin_rate,release_speed,balls,strikes,result_derived,stand,in_or_off_plate,num_on_base,outs_when_up
2334.0,90.9,2,0,out,L,inside,1,2
2057.0,94.3,1,0,ball,L,outside,1,2
1443.0,88.2,0,0,ball,L,outside,1,2
2138.0,95.3,3,2,hit,R,inside,1,2
2243.0,95.6,3,1,strike,R,inside,1,2
2132.0,96.5,2,1,ball,R,outside,1,2
2193.0,95.4,2,0,foul,R,inside,1,2
1478.0,88.7,1,0,ball,R,outside,1,2
1722.0,74.9,0,0,ball,R,outside,1,2
2132.0,95.1,0,2,out,R,outside,1,1
1467.0,88.0,0,1,foul,R,outside,1,1
1390.0,87.6,0,0,strike,R,inside,1,1
1951.0,94.5,3,0,walk,L,outside,0,1
1657.0,88.6,2,0,ball,L,outside,0,1
1654.0,88.5,1,0,ball,L,outside,0,1
2123.0,96.1,0,0,ball,L,outside,0,1
2052.0,93.6,1,0,hit,L,inside,0,1
1717.0,74.2,0,0,ball,L,outside,0,1
1579.0,88.7,3,2,out,L,inside,0,0
2248.0,95.7,2,2,ball,L,outside,0,0
1849.0,76.3,1,2,ball,L,outside,0,0
2114.0,94.0,1,2,foul,L,inside,0,0
1654.0,88.1,1,1,strike,L,outside,0,0
2187.0,94.3,0,1,ball,L,outside,0,0
2088.0,94.6,0,0,foul,L,inside,0,0
2211.0,89.4,1,1,hit,R,inside,0,0
1513.0,87.5,0,1,ball,R,outside,0,0
2075.0,94.0,0,0,strike,R,outside,0,0
1657.0,89.5,2,2,out,L,inside,0,2
1952.0,77.2,1,2,ball,L,outside,0,2
2013.0,95.1,1,2,foul,L,inside,0,2
1555.0,87.7,0,2,ball,L,outside,0,2
2196.0,96.8,0,2,foul,L,outside,0,2
1817.0,76.8,0,1,strike,L,inside,0,2
1652.0,90.7,0,0,strike,L,inside,0,2
1719.0,89.9,3,2,out,R,inside,0,1
2263.0,97.1,2,2,ball,R,outside,0,1
1728.0,89.8,1,2,ball,R,outside,0,1
2230.0,96.6,1,1,strike,R,outside,0,1
2215.0,94.9,0,1,ball,R,outside,0,1
2139.0,95.3,0,0,strike,R,inside,0,1
2098.0,94.8,0,2,out,L,outside,0,0
2005.0,94.7,0,1,strike,L,inside,0,0
1763.0,75.8,0,0,strike,L,inside,0,0
2280.0,91.0,2,0,out,R,inside,0,2
2281.0,96.6,1,0,ball,R,outside,0,2
1604.0,76.3,0,0,ball,R,outside,0,2
1641.0,89.0,0,2,out,R,outside,0,1
1615.0,87.4,0,1,foul,R,inside,0,1
